arxiv_id,cited_count,cited_match_rate,cited_supported,ground_truth_count,model,noncited_correct,noncited_count,noncited_factual_accuracy,reference_count,reference_matches,reference_precision,reference_recall,system
2004.05937,27,1.0,27,305,MiniMax-M3,4,4,1.0,8,3,0.375,0.009836065573770493,citation-rag-v25
2105.01605,22,0.9545454545454546,21,49,MiniMax-M3,4,4,1.0,10,4,0.4,0.08163265306122448,citation-rag-v25
2204.10325,12,0.8333333333333334,10,36,MiniMax-M3,4,4,1.0,6,0,0.0,0.0,citation-rag-v25
2205.08977,19,1.0,19,317,MiniMax-M3,4,4,1.0,9,0,0.0,0.0,citation-rag-v25
2206.13188,17,1.0,17,252,MiniMax-M3,4,4,1.0,10,4,0.4,0.015873015873015872,citation-rag-v25
2306.05817,27,1.0,27,301,MiniMax-M3,3,3,1.0,8,4,0.5,0.013289036544850499,citation-rag-v25
2308.04603,24,0.9583333333333334,23,67,MiniMax-M3,4,4,1.0,9,3,0.3333333333333333,0.04477611940298507,citation-rag-v25
2310.12986,15,0.8,12,61,MiniMax-M3,4,4,1.0,9,0,0.0,0.0,citation-rag-v25
2312.04861,28,0.9642857142857143,27,277,MiniMax-M3,4,4,1.0,10,2,0.2,0.007220216606498195,citation-rag-v25
2401.07915,14,0.6428571428571429,9,260,MiniMax-M3,4,4,1.0,12,6,0.5,0.023076923076923078,citation-rag-v25
